artist,picture,0
barrel,drum,5
bath,house,5
bead,rain,10
beat,blend,10
beer,taste,0
build,add,0
chief,major,5
choose,freedom,5
circus,lion,10
coast,float,10
coin,bill,0
collar,blouse,0
contact,apart,5
cost,lot,5
crowd,big,10
curve,girl,10
damp,stink,0
dawn,night,0
defeat,battle,5
demand,take,5
dizzy,confuse,10
grave,bad,10
grove,group,0
grow,rise,0
maid,honor,5
marry,family,5
marsh,field,10
mask,scuba,10
math,test,0
paint,smell,0
party,friend,5
peel,apple,5
piano,man,10
pig,dirt,10
saint,priest,0
search,lost,0
shame,abuse,5
shop,keeper,5
sleeve,jacket,10
snake,ugly,10
space,black,0
spool,pool,0
stalk,kill,5
stare,rude,5
stay,home,10
student,stress,10
support,love,0
taboo,norm,0
tale,end,5
throw,move,5
tomato,hot,10
tumble,mat,10
vacate,evacuate,0
